"Freq","Cumul","relative","phastCons","Type","GeneSet"
1,6832,0.263936642843346,"0.238999992609024","exons","Universal"
3,6835,0.264052540081128,"0.239999994635582","exons","Universal"
15,6850,0.264632026270041,"0.24099999666214","exons","Universal"
4,6854,0.264786555920417,"0.241999998688698","exons","Universal"
1,6855,0.264825188333011,"0.243000000715256","exons","Universal"
6,6861,0.265056982808576,"0.244000002741814","exons","Universal"
3,6864,0.265172880046359,"0.245000004768372","exons","Universal"
3,6867,0.265288777284141,"0.24600000679493","exons","Universal"
9,6876,0.265636468997489,"0.246999993920326","exons","Universal"
1,6877,0.265675101410083,"0.247999995946884","exons","Universal"
5,6882,0.265868263473054,"0.248999997973442","exons","Universal"
6,6888,0.266100057948619,"0.25","exons","Universal"
2,6890,0.266177322773807,"0.252000004053116","exons","Universal"
6,6896,0.266409117249372,"0.252999991178513","exons","Universal"
5,6901,0.266602279312343,"0.254000008106232","exons","Universal"
5,6906,0.266795441375314,"0.254999995231628","exons","Universal"
5,6911,0.266988603438285,"0.256000012159348","exons","Universal"
1,6912,0.267027235850879,"0.256999999284744","exons","Universal"
6,6918,0.267259030326444,"0.257999986410141","exons","Universal"
7,6925,0.267529457214603,"0.25900000333786","exons","Universal"
4,6929,0.26768398686498,"0.259999990463257","exons","Universal"
7,6936,0.267954413753139,"0.261000007390976","exons","Universal"
3,6939,0.268070310990921,"0.261999994516373","exons","Universal"
7,6946,0.268340737879081,"0.263999998569489","exons","Universal"
1,6947,0.268379370291675,"0.264999985694885","exons","Universal"
7,6954,0.268649797179834,"0.266000002622604","exons","Universal"
3,6957,0.268765694417616,"0.26800000667572","exons","Universal"
2,6959,0.268842959242805,"0.268999993801117","exons","Universal"
2,6961,0.268920224067993,"0.270000010728836","exons","Universal"
4,6965,0.26907475371837,"0.270999997854233","exons","Universal"
5,6970,0.269267915781341,"0.272000014781952","exons","Universal"
5,6975,0.269461077844311,"0.273000001907349","exons","Universal"
3,6978,0.269576975082094,"0.273999989032745","exons","Universal"
2,6980,0.269654239907282,"0.275000005960464","exons","Universal"
3,6983,0.269770137145065,"0.275999993085861","exons","Universal"
4,6987,0.269924666795441,"0.27700001001358","exons","Universal"
4,6991,0.270079196445818,"0.277999997138977","exons","Universal"
2,6993,0.270156461271006,"0.279000014066696","exons","Universal"
4,6997,0.270310990921383,"0.280000001192093","exons","Universal"
6,7003,0.270542785396948,"0.28099998831749","exons","Universal"
2,7005,0.270620050222136,"0.282000005245209","exons","Universal"
8,7013,0.27092910952289,"0.282999992370605","exons","Universal"
4,7017,0.271083639173266,"0.284000009298325","exons","Universal"
2,7019,0.271160903998455,"0.284999996423721","exons","Universal"
6,7025,0.27139269847402,"0.28600001335144","exons","Universal"
2,7027,0.271469963299208,"0.287000000476837","exons","Universal"
4,7031,0.271624492949585,"0.287999987602234","exons","Universal"
5,7036,0.271817655012556,"0.289000004529953","exons","Universal"
5,7041,0.272010817075526,"0.28999999165535","exons","Universal"
4,7045,0.272165346725903,"0.291000008583069","exons","Universal"
4,7049,0.27231987637628,"0.291999995708466","exons","Universal"
6,7055,0.272551670851845,"0.293000012636185","exons","Universal"
4,7059,0.272706200502221,"0.293999999761581","exons","Universal"
3,7062,0.272822097740004,"0.294999986886978","exons","Universal"
1,7063,0.272860730152598,"0.296000003814697","exons","Universal"
6,7069,0.273092524628163,"0.296999990940094","exons","Universal"
3,7072,0.273208421865946,"0.298000007867813","exons","Universal"
4,7076,0.273362951516322,"0.29899999499321","exons","Universal"
7,7083,0.273633378404481,"0.300000011920929","exons","Universal"
6,7089,0.273865172880046,"0.300999999046326","exons","Universal"
3,7092,0.273981070117829,"0.301999986171722","exons","Universal"
7,7099,0.274251497005988,"0.303000003099442","exons","Universal"
2,7101,0.274328761831176,"0.303999990224838","exons","Universal"
5,7106,0.274521923894147,"0.305000007152557","exons","Universal"
6,7112,0.274753718369712,"0.305999994277954","exons","Universal"
1,7113,0.274792350782306,"0.307000011205673","exons","Universal"
2,7115,0.274869615607495,"0.30799999833107","exons","Universal"
3,7118,0.274985512845277,"0.308999985456467","exons","Universal"
1,7119,0.275024145257871,"0.310000002384186","exons","Universal"
4,7123,0.275178674908248,"0.310999989509583","exons","Universal"
5,7128,0.275371836971219,"0.312000006437302","exons","Universal"
6,7134,0.275603631446784,"0.312999993562698","exons","Universal"
2,7136,0.275680896271972,"0.314999997615814","exons","Universal"
2,7138,0.275758161097161,"0.316000014543533","exons","Universal"
6,7144,0.275989955572726,"0.31700000166893","exons","Universal"
1,7145,0.27602858798532,"0.317999988794327","exons","Universal"
5,7150,0.276221750048291,"0.319000005722046","exons","Universal"
6,7156,0.276453544523856,"0.319999992847443","exons","Universal"
7,7163,0.276723971412015,"0.321000009775162","exons","Universal"
4,7167,0.276878501062391,"0.321999996900558","exons","Universal"
4,7171,0.277033030712768,"0.323000013828278","exons","Universal"
3,7174,0.277148927950551,"0.324000000953674","exons","Universal"
4,7178,0.277303457600927,"0.324999988079071","exons","Universal"
4,7182,0.277457987251304,"0.32600000500679","exons","Universal"
2,7184,0.277535252076492,"0.326999992132187","exons","Universal"
2,7186,0.27761251690168,"0.328000009059906","exons","Universal"
3,7189,0.277728414139463,"0.328999996185303","exons","Universal"
3,7192,0.277844311377246,"0.330000013113022","exons","Universal"
3,7195,0.277960208615028,"0.331999987363815","exons","Universal"
3,7198,0.278076105852811,"0.333000004291534","exons","Universal"
3,7201,0.278192003090593,"0.333999991416931","exons","Universal"
2,7203,0.278269267915781,"0.33500000834465","exons","Universal"
2,7205,0.27834653274097,"0.335999995470047","exons","Universal"
4,7209,0.278501062391346,"0.337000012397766","exons","Universal"
5,7214,0.278694224454317,"0.337999999523163","exons","Universal"
3,7217,0.2788101216921,"0.33899998664856","exons","Universal"
1,7218,0.278848754104694,"0.340000003576279","exons","Universal"
5,7223,0.279041916167665,"0.340999990701675","exons","Universal"
2,7225,0.279119180992853,"0.342000007629395","exons","Universal"
1,7226,0.279157813405447,"0.342999994754791","exons","Universal"
11,7237,0.279582769943983,"0.34400001168251","exons","Universal"
1,7238,0.279621402356577,"0.344999998807907","exons","Universal"
2,7240,0.279698667181766,"0.345999985933304","exons","Universal"
2,7242,0.279775932006954,"0.347000002861023","exons","Universal"
5,7247,0.279969094069925,"0.34799998998642","exons","Universal"
3,7250,0.280084991307707,"0.349000006914139","exons","Universal"
6,7256,0.280316785783272,"0.349999994039536","exons","Universal"
2,7258,0.280394050608461,"0.351000010967255","exons","Universal"
2,7260,0.280471315433649,"0.351999998092651","exons","Universal"
1,7261,0.280509947846243,"0.352999985218048","exons","Universal"
4,7265,0.28066447749662,"0.354000002145767","exons","Universal"
5,7270,0.28085763955959,"0.354999989271164","exons","Universal"
3,7273,0.280973536797373,"0.356000006198883","exons","Universal"
5,7278,0.281166698860344,"0.35699999332428","exons","Universal"
2,7280,0.281243963685532,"0.358000010251999","exons","Universal"
1,7281,0.281282596098126,"0.358999997377396","exons","Universal"
1,7282,0.281321228510721,"0.360000014305115","exons","Universal"
6,7288,0.281553022986285,"0.361000001430511","exons","Universal"
2,7290,0.281630287811474,"0.361999988555908","exons","Universal"
4,7294,0.28178481746185,"0.363000005483627","exons","Universal"
3,7297,0.281900714699633,"0.363999992609024","exons","Universal"
5,7302,0.282093876762604,"0.365000009536743","exons","Universal"
2,7304,0.282171141587792,"0.36599999666214","exons","Universal"
3,7307,0.282287038825575,"0.367000013589859","exons","Universal"
2,7309,0.282364303650763,"0.368000000715256","exons","Universal"
6,7315,0.282596098126328,"0.368999987840652","exons","Universal"
