"","Freq","Cumul","relative","phastCons","Type","GeneSet"
"0.1700000017881391",18,21467,0.659022533308774,"0.170000001788139","promoters","Universal"
"0.1710000038146971",17,21484,0.659544421931602,"0.171000003814697","promoters","Universal"
"0.1720000058412551",13,21497,0.659943513231412,"0.172000005841255","promoters","Universal"
"0.1729999929666521",15,21512,0.66040400319273,"0.172999992966652","promoters","Universal"
"0.173999994993211",17,21529,0.660925891815558,"0.17399999499321","promoters","Universal"
"0.1749999970197681",28,21557,0.661785473076687,"0.174999997019768","promoters","Universal"
"0.1759999990463261",22,21579,0.662460858353288,"0.175999999046326","promoters","Universal"
"0.1770000010728841",22,21601,0.663136243629889,"0.177000001072884","promoters","Universal"
"0.1780000030994421",21,21622,0.663780929575735,"0.178000003099442","promoters","Universal"
"0.1790000051259991",16,21638,0.664272118867809,"0.179000005125999","promoters","Universal"
"0.1800000071525571",16,21654,0.664763308159882,"0.180000007152557","promoters","Universal"
"0.1809999942779541",25,21679,0.665530791428747,"0.180999994277954","promoters","Universal"
"0.1819999963045121",21,21700,0.666175477374593,"0.181999996304512","promoters","Universal"
"0.182999998331071",10,21710,0.666482470682139,"0.18299999833107","promoters","Universal"
"0.184000000357628",22,21732,0.66715785595874,"0.184000000357628","promoters","Universal"
"0.1850000023841861",17,21749,0.667679744581568,"0.185000002384186","promoters","Universal"
"0.1860000044107441",19,21768,0.668263031865905,"0.186000004410744","promoters","Universal"
"0.1870000064373021",17,21785,0.668784920488733,"0.187000006437302","promoters","Universal"
"0.1879999935626981",13,21798,0.669184011788543,"0.187999993562698","promoters","Universal"
"0.1889999955892561",14,21812,0.669613802419107,"0.188999995589256","promoters","Universal"
